,album,artist,genre,id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
29,Wonder What's Next,Chevelle,2000sRock,1gyee1JuFFiP476LQpRMYU,The Red,0.000671,0.509,238400,0.843,0.000803,1,0.348,-3.318,0,0.0488,140.055,3,0.332
30,Hoobastank,Hoobastank,2000sRock,1eK4KsyjAzr2xJ86Tj5SWa,Crawling In The Dark,0.000295,0.592,175027,0.932,7.59E-05,6,0.138,-4.491,0,0.0885,93.675,4,0.698
31,Audioslave,Audioslave,2000sRock,1Qdnvn4XlmZANCVy3XjrQo,Show Me How to Live,0.000336,0.433,277840,0.854,0.000177,9,0.162,-3.868,1,0.0483,89.4,4,0.368
32,Issues,Korn,2000sRock,2F6FfZ4w8z3eJpSxPotVO5,Falling Away from Me,0.00014,0.468,270920,0.769,0.00124,4,0.271,-7.036,1,0.041,104.102,4,0.17
33,All Hope Is Gone,Slipknot,2000sRock,2MvIMgtWyK88OiPi0J8Dg3,Psychosocial,0.00252,0.576,283400,0.989,0.0032,2,0.0243,-1.909,1,0.112,135.093,4,0.352
34,Morning View,Incubus,2000sRock,61qn7uoDsuswZs5p2DkFiP,Wish You Were Here,0.000631,0.246,212733,0.768,0.301,9,0.102,-7.48,1,0.0387,169.873,4,0.35
35,Lost and Found,Mudvayne,2000sRock,0INUE1K7cEiE8VH63Rv5RJ,Happy?,0.000823,0.546,216427,0.971,2.11E-05,5,0.275,-2.661,0,0.0965,100.078,4,0.383
36,Faceless,Godsmack,2000sRock,44NRdYQw7P0GWuiunRv3hr,I Stand Alone,4.78E-05,0.213,246040,0.93,0,0,0.126,-4.478,1,0.0671,169.221,4,0.386
37,This Is War,Thirty Seconds To Mars,2000sRock,4sjLcE0GQ6urc4iUXsUPe9,Kings and Queens,0.0401,0.293,347667,0.816,2.95E-05,8,0.13,-5.432,1,0.0844,164.982,4,0.148
38,Dysfunction (Internet Release),Staind,2000sRock,6264zKFgXM13JuRBX4MMyD,Mudshovel,0.000224,0.328,282093,0.826,0.000944,6,0.0818,-5.085,1,0.0362,106.606,4,0.341
39,Scars & Souvenirs,Theory of a Deadman,2000sRock,5kk853JTjxdgJYroQhXVQ6,Bad Girlfriend,0.0032,0.507,205627,0.953,0,0,0.26,-2.608,1,0.0526,135.055,4,0.681
40,Mezmerize,System Of A Down,2000sRock,0EYOdF5FCkgOJJla8DI2Md,B.Y.O.B.,0.00662,0.556,255467,0.981,0,1,0.218,-2.688,0,0.128,101.423,4,0.716
41,The Sound of Madness,Shinedown,2000sRock,0CwYG1UnRmOx8Q1EzElCIL,Second Chance,0.00107,0.46,222067,0.796,0,0,0.106,-4.501,0,0.0333,100.011,4,0.182
42,Karma and Effect,Seether,2000sRock,5ynxx6zC4dgzsMHLYQ04Dc,Remedy,0.00018,0.546,207213,0.959,0.00144,8,0.0584,-4.664,1,0.082,127.831,4,0.416
43,Tri-polar,Sick Puppies,2000sRock,5omWAB5iNMHvbAfBSzkdu8,You're Going Down,0.0116,0.488,187347,0.842,0.00127,6,0.146,-5.926,1,0.0469,90.003,4,0.41
44,Moving Forward In Reverse: Greatest Hits,Saliva,2000sRock,55SUneDPq3ZOrJi8sVG78G,Click Click Boom,0.00324,0.609,252933,0.937,0.000294,6,0.129,-2.912,1,0.0495,95.961,4,0.493
45,Come Clean,Puddle Of Mudd,2000sRock,4BL79Qie6r0TkXuNQLC8gQ,Control,0.00301,0.433,230093,0.914,0,11,0.296,-3.4,1,0.0985,163.759,4,0.635
46,Sinner,Drowning Pool,2000sRock,7CpbhqKUedOIrcvc94p60Y,Bodies,0.00347,0.656,201960,0.932,0.00147,4,0.144,-3.405,0,0.0708,130.936,4,0.544
47,White Pony (U.S. Version),Deftones,2000sRock,51c94ac31swyDQj9B3Lzs3,Change (In the House of Flies) - In The House Of Flies LP Version,0.000249,0.269,299533,0.853,0.000246,7,0.118,-4.647,0,0.0854,141.581,4,0.179
48,Mer De Noms,A Perfect Circle,2000sRock,4XDBEoD6QFnzDY5oMmNVXN,The Hollow,0.000162,0.295,178960,0.789,0.0904,1,0.0986,-5.559,1,0.0704,104.133,4,0.513
49,The Greyest Of Blue Skies,Finger Eleven,2000sRock,0tpHuAqLg4NQXPSpxdEUPe,First Time,4.87E-05,0.364,266400,0.867,1.10E-06,8,0.729,-5.604,1,0.139,166.026,4,0.295
