album,artist,genre,id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Mr. Misunderstood,Eric Church,Country,5fSPbm5lcwtqwXkeQQswW8,Record Year,0.178,0.585,179347,0.655,0,5,0.0842,-8.151,1,0.12,159.96,4,0.574
We Were That Song,Brett Kissel,Country,2OI0HC2LdSot1yHpxUzUOp,We Were That Song,0.216,0.618,200280,0.911,0,9,0.132,-3.323,1,0.05,102.956,4,0.501
Kane Brown,Kane Brown,Country,1A8s182NfOT6dOXjPsWfTn,Thunder in the Rain,0.000555,0.549,164920,0.877,0,6,0.0969,-5.008,1,0.0317,110.963,4,0.377
Drive Me Away,Jess Moskaluke,Country,1HCtHI5ODWOxRWxcaa8V2i,Drive Me Away,0.0342,0.579,173400,0.852,0,1,0.117,-4.318,0,0.0992,102.136,4,0.616
Liquor's Callin' the Shots,Eric Ethridge,Country,0ygC1R3vBHPnMvl9x1Ky9F,Liquor's Callin' the Shots,0.0277,0.447,217839,0.96,0,2,0.0318,-1.979,1,0.0588,158.104,4,0.533
Found You,Kane Brown,Country,2OFvjqQ5xHaWqH3EQ4K3S9,Found You,0.0528,0.46,191733,0.821,0,4,0.0818,-5.333,0,0.0404,164.144,4,0.438
Dig Your Roots,Florida Georgia Line,Country,0BCy325UZyR9z0t0uxwn2N,H.O.L.Y.,0.385,0.525,194187,0.685,0,7,0.0731,-3.954,0,0.0351,78.003,4,0.54
Getaway,Hunter Brothers,Country,32TIZa11mxgW0rnqV9jyJt,Long Way To Love You,0.000601,0.589,196173,0.829,0,9,0.166,-4.993,1,0.0452,115.024,4,0.411
Ripcord,Keith Urban,Country,5OUSPcqhYTOzpbXzoEvKim,The Fighter,0.0304,0.681,184040,0.845,0,11,0.197,-5.147,0,0.0525,132.023,4,0.761
Road Less Traveled,Lauren Alaina,Country,4nxgA1nvXvTkmsBY0vJV57,Road Less Traveled,0.0596,0.615,216267,0.88,0,0,0.247,-4.69,1,0.0348,112.996,4,0.307
What Makes You Country,Luke Bryan,Country,5w3NgfV8v1nNZFLUBlGHIL,Light It Up,0.118,0.602,177306,0.929,0,6,0.103,-2.741,0,0.0839,130.024,4,0.677
Texoma Shore,Blake Shelton,Country,609qKv3KPAbdtp0LQH2buA,I'll Name the Dogs,0.171,0.348,183640,0.87,4.40E-06,4,0.202,-5.86,1,0.137,83.392,4,0.763
Obsessed,Dan + Shay,Country,4n0xztUAbHPUV8G3NQvF30,How Not To,0.208,0.501,192000,0.836,0,11,0.152,-3.587,0,0.0491,159.863,4,0.618
When I Do,Alee,Country,3EHTGzyrklWykou2asnouB,When I Do,0.0637,0.404,203920,0.785,1.70E-06,6,0.121,-4.336,1,0.0576,74.994,4,0.584
City Girl,Ryan Hurd,Country,2N48teJywrTpd3q02J0GpZ,City Girl,0.0138,0.567,247315,0.795,0,11,0.0862,-6.202,0,0.0292,134.009,4,0.415
The Score,Aaron Pritchett,Country,7J2cU4sFiCMFIBtbiTkjTT,Dirt Road In 'Em,0.0886,0.579,208600,0.913,0,5,0.157,-3.888,1,0.046,146.027,4,0.714
Like You That Way,Canaan Smith,Country,7zuqsNtIkksF5U9OEjqXlk,Like You That Way,0.0551,0.41,158667,0.738,0,9,0.0988,-3.833,1,0.0719,184.059,4,0.593
Hearts On Fire,Chad Brownlee,Country,5DAQdrSHGle1kkzGC1mosE,Out Of The Blue,0.00959,0.515,183667,0.828,0,3,0.19,-4.715,1,0.032,81.999,4,0.653
Girl Problems,Chris Lane,Country,6VB64hpnpRNqukYsIX76uo,For Her,0.0993,0.51,211227,0.904,0,6,0.173,-4.291,1,0.0357,150.004,4,0.545
Livin' on Summertime,Gord Bamford,Country,2Kn2xDobv21ySS99NIlAd5,Livin' on Summertime,0.321,0.529,202981,0.818,0,6,0.246,-3.624,1,0.0276,89.016,4,0.688
Shake These Walls,Tim Hicks,Country,70xEo9E3BEUgZSDn3YU2Au,Stompin' Ground,0.158,0.691,189573,0.937,0,9,0.059,-3.963,0,0.0525,97.999,4,0.847
Illinois,Brett Eldredge,Country,1XazlqB4YAtvouCmJPWXlM,Wanna Be That Song,0.114,0.518,236227,0.686,0,9,0.114,-4.911,1,0.0313,144.065,4,0.334
Kill The Lights (Deluxe),Luke Bryan,Country,2gYiCTytrSRtuaHP1Nac6u,Fast,0.225,0.548,206213,0.898,0,0,0.1,-2.561,0,0.0459,145.953,4,0.599
Later,David James,Country,5Ig8jrdRdywDUXfRruLE7J,Later,0.0385,0.516,165840,0.851,0,11,0.279,-5.013,0,0.0493,164.936,4,0.605
You Look Good,Lady Antebellum,Country,40UAL8woeLT1Z8bbOMYvhk,You Look Good,0.0344,0.659,183747,0.926,0.00121,0,0.113,-4.66,1,0.0461,152.015,4,0.95
Both Sides Of The Bar,Jojo Mason,Country,68AxSnpURfXKS9t24R8GTY,Good Kinda Love,0.033,0.532,183525,0.906,4.61E-05,1,0.0666,-3.145,1,0.0325,92.01,4,0.775
What Makes You Country,Luke Bryan,Country,7GWo0tyrAT1e3TwpxWqFE1,What Makes You Country,0.0108,0.51,235242,0.947,0,0,0.153,-1.746,1,0.0445,159.995,4,0.749
Head Over Boots,Jon Pardi,Country,1R9FxlRkvKtt36dtTHs93X,Head Over Boots,0.0919,0.637,205120,0.669,0,7,0.103,-4.608,1,0.0237,108.078,4,0.638
Natasha Zimbaro,Natasha Zimbaro,Country,22JefMasbmZkOqzoQF8Eff,Cardboard Box,0.00283,0.608,176267,0.864,0,9,0.0624,-3.976,0,0.0312,116.969,4,0.582
Unapologetically,Kelsea Ballerini,Country,5etbiGP3vTMmpe375boNCy,Unapologetically,0.018,0.536,218813,0.817,0,2,0.0498,-5.285,1,0.0473,170.877,4,0.525
I Got This,George Canyon,Country,3FI3ln1auq8gst2bLUtH5y,Daughters Of The Sun,0.0131,0.694,182400,0.724,8.28E-05,6,0.0954,-7.026,0,0.0343,114.997,4,0.72
Up Down (Feat. Florida Georgia Line),Morgan Wallen,Country,3LhzpgimYSZhTx5KuchwVX,Up Down (Feat. Florida Georgia Line),0.0913,0.59,196240,0.881,0,6,0.157,-2.898,1,0.0349,129.928,4,0.734
Yours,Russell Dickerson,Country,2oPCR02nduYVpj7CTfsA0d,Blue Tacoma,0.0183,0.455,212067,0.897,0,9,0.174,-4.879,1,0.0403,160.139,4,0.728
Progression,Ryan Robinette,Country,32SNlzo9Al9aFDTgBk727H,Proof Is on Your Lips,0.168,0.455,205208,0.807,0,8,0.104,-5.053,1,0.033,143.926,4,0.685
Better Man,Little Big Town,Country,0jMikeoKkkSOby4ofddqYs,Better Man,0.126,0.524,260933,0.76,1.10E-05,5,0.239,-4.214,1,0.0361,143.991,4,0.437
Every Little Thing,Carly Pearce,Country,2wxfu24GQpEZQrjDJm5Ac1,Every Little Thing,0.44,0.637,180053,0.444,5.46E-06,0,0.0954,-6.355,1,0.0417,139.775,4,0.319
LANCO - EP,LANCO,Country,0kdiUZDcLIFw0Buo9r0Q4z,Greatest Love Story,0.38,0.665,222400,0.621,0,10,0.119,-8.571,1,0.0524,147.975,4,0.632
Boy With A Guitar,Jason Blaine,Country,2VeezVQdzooBe9yvjCaYWu,Born To Love,0.0235,0.285,154827,0.94,0,3,0.126,-4.548,1,0.208,161.612,5,0.173
Both Sides Of The Bar,Jojo Mason,Country,4VDbajT3R5u0lXiCY1Ishu,Edge Of The Night,0.000948,0.582,178190,0.938,0,4,0.198,-3.646,1,0.0522,119.989,4,0.481
Homemade,Cold Creek County,Country,1546HxzjRe5VvxHB63veqp,This Town Is You,0.101,0.447,177274,0.874,0,0,0.145,-3.757,1,0.0365,165.938,4,0.63
Getaway,Hunter Brothers,Country,68wVfGHlUtL6AWrJWkRKOz,Born And Raised,0.0864,0.525,181933,0.906,0,11,0.238,-3.191,0,0.0748,114.993,4,0.471
Game On,James Barker Band,Country,7g0FITg4Uhq4A7PLzcOQPg,It's Working,0.0597,0.679,193320,0.898,1.39E-06,7,0.0847,-5.058,1,0.0378,117.996,4,0.685
Dear Life,High Valley,Country,2J1DQUnFdlKcUYJbIO8fID,Dear Life,0.0179,0.554,195000,0.88,0,2,0.0862,-6.366,1,0.0425,127.026,4,0.448
Paradise Found,Shawn Austin,Country,12vwPWAtcvBRoJMoBFFWUI,Paradise Found,0.0679,0.582,195927,0.722,0,10,0.16,-6.478,1,0.0301,155.999,4,0.631
Hell If I Know,Chase Bryant,Country,2AgtfBkoLmayuL6ScdqC7Y,Hell If I Know,0.0451,0.618,168333,0.831,0,1,0.0692,-5.99,1,0.0434,100.014,4,0.627
Beautiful Freakshow,Dean Brody,Country,5zJ5Tp820plLvRLcxkUyN2,8th Day,0.0453,0.664,182107,0.872,1.94E-05,4,0.352,-4.597,1,0.0651,113.021,4,0.751
Neon Smoke,Gord Bamford,Country,7ahNtJpQe07nH9bkd45tiI,Neon Smoke,0.165,0.586,207283,0.79,0,0,0.132,-5.438,0,0.0283,100.007,4,0.35
Dear Life,High Valley,Country,5hvrMHJMadUSbfyV8F27Dr,Young Forever,0.000497,0.565,220240,0.898,0,9,0.208,-4.693,1,0.0372,146.025,4,0.731
Self + Medicine,Sykamore,Country,4vOlu0CyXyJ0UDKgrmJxVn,We Were Alright,0.066,0.622,247711,0.765,0,3,0.151,-5.744,1,0.0261,120.016,4,0.619
Morgan Wallen,Morgan Wallen,Country,5arNKTmFCdZaymPrdkX0wO,Not Good At Not,0.222,0.562,181827,0.789,0,11,0.111,-3.827,1,0.0311,144.002,4,0.613
We Were That Song,Brett Kissel,Country,03t0Me6yMq3uvRT9Q5xbDC,Anthem,0.19,0.66,241547,0.798,0,2,0.116,-4.724,0,0.0312,116.002,4,0.536
Chris Buck Band,Chris Buck Band,Country,2gvYqSUrl405FQRdsZUQLo,That's When You Know,0.0692,0.523,207399,0.809,0,3,0.111,-7.257,1,0.044,147.881,4,0.663
Down Home Sessions IV,Cole Swindell,Country,4Umsx2T1LJHsCXRQAgmSdH,Get Me Some of That,0.272,0.585,191640,0.753,0,6,0.197,-5.871,1,0.0626,171.987,4,0.892
Parallel Line,Keith Urban,Country,6W4DY8jGf8POlFsMQhR2E6,Parallel Line,0.204,0.617,253084,0.482,0,0,0.216,-5.121,1,0.0322,81.73,4,0.508
Hallelujah Nights,LANCO,Country,77a5Eu7lC3tG0Sukt2O91U,Born to Love You,0.13,0.659,230013,0.902,9.45E-05,7,0.0574,-6.192,1,0.0296,124.985,4,0.809
Appetite For Destruction,Guns N' Roses,Rock,5Q41NLTmGbVPozwHKK7bk2,Paradise City,0.0214,0.274,406307,0.949,0.00778,11,0.218,-8.642,1,0.0896,100.346,4,0.497
1984 (Remastered),Van Halen,Rock,05RgAMGypEvqhNs5hPCbMS,Panama - 2015 Remastered Version,0.00124,0.527,210227,0.978,4.75E-05,8,0.0744,-5.436,1,0.109,141.169,4,0.463
Love At First Sting,Scorpions,Rock,0XIvZ82aDF7JiSi3ZE320u,Rock You Like A Hurricane,0.00853,0.482,252493,0.601,0.000187,7,0.249,-12.846,1,0.0486,125.619,4,0.774
Dr. Feelgood 20th Anniversary (Expanded Version),Mötley Crüe,Rock,5X0bLSho0KTiSQYCI0IOcl,Dr. Feelgood,0.000886,0.535,291307,0.967,0.0204,2,0.233,-4.082,1,0.068,110.97,4,0.347
Hysteria (Super Deluxe),Def Leppard,Rock,0PdM2a6oIjqepoEfcJo0RO,Pour Some Sugar On Me - Remastered 2017,0.00224,0.529,267307,0.956,0,1,0.284,-4.891,0,0.0699,84.966,4,0.591
Whitesnake (30th Anniversary Remaster),Whitesnake,Rock,5PLPlz2rQlwMTFQqnQAPgu,Still of the Night - 2017 Remastered Version,0.00582,0.403,399693,0.88,0.000508,0,0.319,-5.872,1,0.0532,100.457,4,0.235
Blizzard of Ozz (Expanded Edition),Ozzy Osbourne,Rock,2b9lp5A6CqSzwOrBfAFhof,Crazy Train - Remastered,0.361,0.453,296200,0.906,0.000569,9,0.26,-4.001,1,0.115,137.575,4,0.473
Slippery When Wet,Bon Jovi,Rock,3U7H63zKWLjOuFZJUmTowp,You Give Love A Bad Name,0.0771,0.559,223733,0.825,0,0,0.363,-10.725,0,0.0401,122.821,4,0.805
Winger,Winger,Rock,2ZS0wDcdfrJPC86u5aJGo9,Seventeen,0.000895,0.577,245267,0.676,2.29E-06,8,0.0625,-11.931,1,0.0295,95.98,4,0.676
Night Songs,Cinderella,Rock,6LFoyjCI9eFZw3QmN46x2V,Nobody's Fool,0.0478,0.367,286627,0.445,0.00284,9,0.199,-13.615,0,0.0286,67.197,4,0.149
Holy Diver,Dio,Rock,2PpNgmrS9mAyrkRAwn6YPq,Rainbow in the Dark,0.000692,0.512,256933,0.947,0.114,9,0.0283,-5.659,0,0.0401,117.461,4,0.612
Invasion Of Your Privacy,Ratt,Rock,3D5ORNm9spaTcdRx50ksHx,Lay It Down,0.000402,0.442,205560,0.759,0.0081,10,0.174,-13.475,1,0.0354,198.117,4,0.279
New Jersey (Deluxe Edition),Bon Jovi,Rock,72hcFp4tYkd3dbNA9dZ3Pv,Bad Medicine,0.0475,0.551,316707,0.971,0,9,0.0922,-3.793,1,0.0335,118.662,4,0.81
Metal Health,Quiet Riot,Rock,28clONjZmul6FjfO6tZQDE,Metal Health (Bang Your Head),0.0434,0.494,316867,0.933,0.00108,2,0.228,-5.977,1,0.0808,121.201,4,0.507
The Final Countdown (Expanded Edition),Europe,Rock,3MrRksHupTVEQ7YbA0FsZK,The Final Countdown,0.0628,0.536,310333,0.844,0.00084,6,0.0608,-6.918,0,0.058,117.652,4,0.185
Theatre of Pain,Mötley Crüe,Rock,4zXvB4MoQD8onk0NCZbeHG,Home Sweet Home,0.0999,0.403,240933,0.777,3.28E-06,5,0.124,-6.416,1,0.0354,76.329,4,0.149
Blackout,Scorpions,Rock,26fZwf1ImE4aUJ4XaqOkUg,No One Like You,0.0203,0.505,237467,0.631,2.21E-05,9,0.141,-10.433,0,0.038,118.178,4,0.835
Lita,Lita Ford,Rock,43thLwzSasUUZEYjYPeJh3,Close My Eyes Forever,0.31,0.476,283133,0.331,2.82E-06,5,0.172,-14.884,1,0.0305,130.574,4,0.24
Appetite For Destruction,Guns N' Roses,Rock,5NIPsWpDjJTFBoPxCUUeXp,Welcome To The Jungle,0.0326,0.445,273600,0.955,0.284,8,0.317,-8.027,1,0.0856,123.343,4,0.336
Open Up And Say...Ahh! - 20th Anniversary Edition,Poison,Rock,43GS3mtezoIFiuIZCLLiDY,Every Rose Has Its Thorn - 2003 - Remaster,0.16,0.533,260173,0.637,1.12E-05,6,0.369,-5.571,1,0.0323,140.167,4,0.292
Whitesnake (30th Anniversary Remaster),Whitesnake,Rock,3qwnfEm2N8lvD9BaJvOfaW,Is This Love - 2017 Remastered Version,0.109,0.333,284600,0.79,0,0,0.115,-6.802,1,0.0386,180.356,4,0.534
Lick It Up,KISS,Rock,3cXiUuiGpFmZ8OdAWKk8Ck,Lick It Up,0.187,0.686,236640,0.781,1.90E-05,2,0.332,-5.906,1,0.0523,120.191,4,0.64
Twice Shy,Great White,Rock,7pkWZL0kA26s754CwyK0SH,Once Bitten Twice Shy,0.028,0.723,322933,0.541,0.00339,0,0.133,-14.021,1,0.0303,131.675,4,0.607
Slippery When Wet,Bon Jovi,Rock,2fY6tqgrlrg1ky9fgs0t5u,Wanted Dead Or Alive,0.137,0.257,308667,0.803,0.0156,7,0.297,-3.886,1,0.0411,150.818,4,0.294
Long Cold Winter,Cinderella,Rock,3vPrFUtWpKT9oNW94NDDEW,Don't Know What You Got (Till It's Gone),0.229,0.36,354640,0.527,0.000792,9,0.0536,-9.883,1,0.0289,132.639,4,0.247
Invasion Of Your Privacy,Ratt,Rock,3D3lmTEhuWaunO1yxpYPD8,You're In Love,0.00384,0.567,194107,0.867,0.088,7,0.112,-11.541,1,0.0484,146.008,4,0.535
"Girls, Girls, Girls",Mötley Crüe,Rock,5xLyTbCFONUGUuG0LtUxjn,"Girls, Girls, Girls",0.0296,0.6,270427,0.931,7.10E-05,7,0.392,-4.647,1,0.0734,140.123,4,0.542
1987 (2007 Remaster),Whitesnake,Rock,3rdxvEfBp86WNcRDLaFEk9,Here I Go Again 87 - 2007 Remastered Version,0.207,0.39,270160,0.898,6.64E-05,7,0.217,-4.089,1,0.045,90.703,4,0.204
Bon Jovi Greatest Hits,Bon Jovi,Rock,7qQnBfwXrw2tZNFG4Uf57N,Livin' On A Prayer,0.0665,0.52,250627,0.887,0.000179,0,0.186,-3.296,1,0.0349,122.528,4,0.793
Appetite For Destruction,Guns N' Roses,Rock,4MhTFsyqIJnjsOweVcU8ug,Sweet Child O' Mine,0.141,0.449,356400,0.901,0.0675,6,0.128,-7.711,1,0.0526,125.148,4,0.696
Quiet Riot - Greatest Hits,Quiet Riot,Rock,6FBmHx1FuaSnTnnnaThgbF,Cum on Feel the Noize,0.000183,0.441,287400,0.908,0.00328,11,0.0612,-4.627,0,0.115,145.439,4,0.632
1984,Van Halen,Rock,2PfBSkCKZDXMsJogMT0wML,Jump,0.0745,0.547,239560,0.822,0.00943,0,0.0645,-7.201,1,0.0292,130.138,4,0.774
Playlist: The Very Best Of Europe,Europe,Rock,4NffXDmI70vw19P5Efoe0T,Rock the Night,0.036,0.562,247493,0.965,0,4,0.326,-2.789,0,0.0613,105.305,4,0.39
Double Dose: Ultimate Hits,Poison,Rock,473dVAB97y06dfl6OBb1uj,Talk Dirty to Me - 2006 - Remaster,0.00888,0.49,224960,0.951,0.00126,11,0.376,-3.888,1,0.0966,158.075,4,0.628
We Are The '80s,Loverboy,Rock,0sgDEFq9oeC8ueOK0mR5IA,Working for the Weekend,0.027,0.526,220707,0.924,0.000728,7,0.598,-5.591,1,0.0391,147.28,4,0.793
Holy Diver,Dio,Rock,57fqmDaokbxZ3TaB0jp39q,Holy Diver,0.0642,0.476,353787,0.901,0.158,8,0.0557,-6.751,1,0.0975,91.955,4,0.109
The Greatest Hits,Mötley Crüe,Rock,0mDpR6DpKc2DyiGtH0NcX8,Kickstart My Heart,0.00111,0.474,284027,0.977,0.00298,7,0.201,-3.839,0,0.176,89.494,4,0.236
Rhino Hi-Five: Ratt,Ratt,Rock,0SFS1LxNP5wgnoDA7nGKQu,Round and Round,0.0135,0.616,266627,0.965,0.000174,11,0.119,-4.464,1,0.0613,126.535,4,0.405
Rhino Hi-Five: Twisted Sister,Twisted Sister,Rock,5RHG4SQ6iJ1qQJmt3EFJCX,We're Not Gonna Take It,0.0127,0.502,219667,0.924,0,4,0.162,-6.299,1,0.0503,149.186,4,0.922
Cherry Pie,Warrant,Rock,7LygtNjQ65PSdzVjUnHXQb,Cherry Pie,0.0372,0.472,201027,0.946,0,2,0.352,-4.591,1,0.145,177.489,4,0.486
Best Of '81 To '85,Y&T,Rock,2kR3B09M6KeJnchOkxwszt,Summertime Girls - Studio Version,0.0025,0.423,209067,0.696,2.44E-06,4,0.221,-11.589,1,0.0335,129.02,4,0.786
Best Of,Skid Row,Rock,1HlGblweLq0eAwnb0NY1EQ,18 And Life,0.000384,0.457,231280,0.794,7.26E-05,1,0.131,-6.624,0,0.0298,90.439,4,0.354
Animalize (Remastered Version),KISS,Rock,1brpdmqkx3kSxyqzqXfW7J,Heaven's On Fire,0.00536,0.679,201400,0.859,5.18E-05,0,0.327,-5.945,1,0.0665,124.324,4,0.792
Permanent Vacation (Remastered),Aerosmith,Rock,6gQUbFwwdYXlKdmqRoWKJe,Dude (Looks Like A Lady),0.417,0.537,265773,0.978,1.56E-05,4,0.0374,-2.921,0,0.0442,126.343,4,0.931
Long Cold Winter,Cinderella,Rock,3W1iDAW7PVwlMC2zJIKF0k,Gypsy Road,0.00961,0.523,235733,0.88,0.000828,9,0.329,-9.019,1,0.0402,132.426,4,0.553
Tooth And Nail,Dokken,Rock,1j06ieEC2BOCM0fTmYhn2l,Alone Again,0.0194,0.298,262200,0.612,9.67E-05,3,0.0906,-9.002,0,0.0379,156.727,4,0.343
Alice Cooper Classicks,Alice Cooper,Rock,1iQpStZpzBb5TOuTDKJKdj,Poison,0.0515,0.3,269600,0.894,0.000333,2,0.125,-7.786,0,0.109,118.631,4,0.268
Mr. Big,Mr. Big,Rock,4QPRua3G7RQraiYX2NwdH6,Addicted To That Rush,0.0537,0.46,284973,0.974,7.95E-06,2,0.329,-5.095,1,0.156,112.684,4,0.444
'80s Hard Rock,XYZ,Rock,5CWWOxTehNz94b4Xs0xFYV,Inside Out,0.013,0.426,228533,0.961,0.0259,8,0.0621,-4.365,1,0.07,171.411,4,0.616
WASP,W.A.S.P.,Rock,5F8WPtrurLmNE3tv6Sm14m,I Wanna Be Somebody,0.00081,0.296,223533,0.83,0,1,0.263,-7.051,0,0.0505,164.124,4,0.478
When The Children Cry - Greatest Hits,White Lion,Rock,2QfjV18pg4Ye7Vo4TsSobq,Wait,0.00122,0.204,295427,0.794,0,2,0.148,-7.586,1,0.0618,149.346,4,0.205
Diary Of A Madman,Ozzy Osbourne,Rock,6QtDzKo8oVwnOx7Sg7jxUe,Over The Mountain,4.95E-05,0.463,271400,0.926,0.000576,5,0.0868,-3.563,0,0.12,131.129,4,0.501
Gary Moore - The Platinum Collection,Gary Moore,Rock,1o0hcMxI6jYzQm6ApPde3L,Wild Frontier - 2002 - Remaster,0.00434,0.479,255720,0.822,4.76E-06,4,0.0843,-6.412,0,0.0444,130.035,4,0.562
The Best Of The Michael Schenker Group ('80-'84),Michael Schenker Group,Rock,6q5vdf6Mfkk0eETYzmgokj,Armed And Ready - 2008 Remastered Version,0.00388,0.33,248333,0.963,0.00714,9,0.0793,-5.509,1,0.106,171.59,4,0.734
Difficult To Cure,Rainbow,Rock,0gGJO7JM51uAUu7EE2lxx6,I Surrender,0.159,0.498,241893,0.858,0,7,0.262,-5.259,0,0.0661,132.718,4,0.778
Vixen,Vixen,Rock,2mEk0VdrbDJ11DBC6Y92mh,Edge Of A Broken Heart,0.0113,0.619,265333,0.751,7.87E-05,7,0.123,-11.568,0,0.0417,126.079,4,0.532
Operation: Mindcrime (Deluxe Edition),Queensrÿche,Rock,0U2TocFjqul3sis3sE5jZl,I Don't Believe In Love - 2003 Digital Remaster,0.0373,0.562,263560,0.991,1.14E-05,7,0.425,-2.654,1,0.0745,118.004,4,0.266
Up Your Alley,Joan Jett,Rock,2HXixVqzzm9rEUIMAWzshl,I Hate Myself for Loving You,0.0846,0.611,246800,0.883,1.20E-06,9,0.192,-11.225,1,0.0539,117.928,4,0.604
Rocky IV,Survivor,Rock,2KH16WveTQWT6KOG9Rg6e2,Eye of the Tiger,0.132,0.817,245640,0.599,0.000311,0,0.0873,-9.249,0,0.0328,108.873,4,0.548
Lita,Lita Ford,Rock,0kFM6t9htbB53Dg8frGDGh,Kiss Me Deadly,0.00819,0.468,241800,0.743,7.88E-05,0,0.369,-10.846,1,0.0326,156.103,4,0.648
Skid Row,Skid Row,Rock,4ZpXHlV2vQVfPXUvbDSZ92,I Remember You,0.00642,0.345,313693,0.531,7.28E-06,0,0.14,-12.708,1,0.0305,176.302,4,0.49
"Girls, Girls, Girls",Mötley Crüe,Rock,41wWrTueWew7qUU0Ru87Mp,Wild Side,0.00742,0.596,281960,0.896,0.00057,0,0.372,-4.635,1,0.0382,115.092,4,0.456
Dirty Rotten Filthy Stinking Rich,Warrant,Rock,2dEgwtRjYl6TJkIwjRwn6z,Heaven,0.115,0.462,236867,0.488,0,6,0.128,-11.143,1,0.0287,145.789,4,0.33
Open Up And Say...Ahh! - 20th Anniversary Edition,Poison,Rock,27kMqdX3aoN3gBndVKlTfR,Fallen Angel - 2006 - Remaster,0.00864,0.509,238200,0.935,1.17E-06,6,0.255,-3.633,1,0.0493,148.062,4,0.501
Shout At The Devil,Mötley Crüe,Rock,1hqrYSqvNc9x3BETX1cZhk,Shout At The Devil,0.02,0.489,195853,0.953,0.00021,0,0.113,-4.615,1,0.0858,94.443,4,0.447
Bon Jovi,Bon Jovi,Rock,0X1sqQ652p1sceKM2nJlIJ,Runaway,0.00482,0.476,230667,0.897,2.38E-05,9,0.152,-4.237,0,0.0627,152.497,4,0.667
Night Songs,Cinderella,Rock,1Qjpl8Kav6rrO92ZuG0OK8,Shake Me,0.00465,0.567,222467,0.889,0.000183,9,0.269,-11.782,1,0.0304,132.726,4,0.555
Mechanical Resonance,Tesla,Rock,5ZIU2kT1wNjQNclQeVCz5O,Modern Day Cowboy,0.0158,0.44,318227,0.772,5.65E-06,9,0.082,-8.838,1,0.0335,112.839,4,0.321
5150,Van Halen,Rock,0TaT50ZZxT4ytZxuqkE3A9,Why Can't This Be Love,0.0606,0.531,227693,0.626,0,0,0.0767,-13.371,1,0.0452,88.236,4,0.746
Mass Slaughter,Slaughter,Rock,1AsRjeavWPH8sCQbjMP8Xh,Up All Night,0.000373,0.516,226027,0.733,0.00716,7,0.258,-11.341,0,0.0326,98.006,4,0.552
Damn Yankees,Damn Yankees,Rock,5t5rCnsgRBtcKqTB7SbD1Q,High Enough,0.0241,0.273,287320,0.537,0,2,0.0922,-9.612,1,0.0306,81.814,4,0.232
Dressed To Kill (Remastered Version),KISS,Rock,7990Xs9HQx7FXVIDVPEwj9,Rock And Roll All Nite,0.046,0.656,168733,0.931,0,1,0.0543,-5.827,1,0.0976,144.747,4,0.909
British Steel,Judas Priest,Rock,0IXpUl1fn2QZcBavfuq0H4,Living After Midnight,0.0136,0.61,210133,0.824,1.75E-06,4,0.0606,-6.046,1,0.0534,134.992,4,0.819
The Last Command,W.A.S.P.,Rock,3iC3Numiy9P3AkF7iioKmx,Wild Child,0.0608,0.372,312400,0.857,9.01E-05,5,0.187,-7.816,0,0.0461,146.08,4,0.389
Flesh & Blood,Poison,Rock,1Z6lKdYhwp8WYoBqGCKxlM,Unskinny Bop - 2006 - Remaster,0.0657,0.574,228067,0.93,7.78E-06,1,0.108,-2.949,1,0.0413,92.303,4,0.69
Bark At The Moon (Bonus Track Version),Ozzy Osbourne,Rock,2E7W1X4maFFcjHrVrFA7Vs,Bark at the Moon,0.00253,0.303,257120,0.961,6.20E-05,9,0.132,-5.333,0,0.243,146.591,4,0.305
Greatest Hits (Re-Recorded / Remastered Versions),Dokken,Rock,5IXUAYqwxmAFj69RWYFzbU,In My Dreams (Re-Recorded / Remastered),4.91E-05,0.542,273013,0.839,0,3,0.0471,-4.404,0,0.0487,121.026,4,0.611
Midnight Madness,Night Ranger,Rock,57trQKFZdJxHia4sMJioWk,Sister Christian,0.159,0.447,302933,0.348,1.98E-06,5,0.0835,-16.199,1,0.039,177.356,4,0.227
Time's Makin' Changes: The Best Of Tesla,Tesla,Rock,73jxc8OqPUqXEzsRnCgw8M,Love Song,0.36,0.341,321267,0.406,0.0519,2,0.126,-8.139,1,0.0359,79.995,4,0.33
Van Halen (Remastered),Van Halen,Rock,6fybp4N6eW3bsFAvARxyVe,Ain't Talkin' 'Bout Love - 2015 Remastered Version,0.021,0.518,227800,0.938,0.000305,8,0.288,-5.964,0,0.0416,139.138,4,0.71
Ace of Spades (Expanded Edition),Motörhead,Rock,6EPRKhUOdiFSQwGBRBbvsZ,Ace of Spades,0.00242,0.317,165907,0.981,0.00677,6,0.0852,-7.102,1,0.174,140.079,4,0.234
Blow My Fuse,Kix,Rock,7wrBlgNqYBAC5yFfO4fnYb,Don't Close Your Eyes,0.0795,0.537,257053,0.382,0.00115,7,0.114,-15.568,0,0.0245,148.061,4,0.338
Double Platinum (Remastered Version),KISS,Rock,7Dtukb9NLJs1i0lohMlIC5,Detroit Rock City,0.0442,0.546,215899,0.91,5.61E-05,5,0.263,-6.736,1,0.061,90.58,4,0.458
